Speaker 1:          00:01:44       And before we start discussing philosophy and the human soul. Thous Vani has two words.
Speaker 7:          00:45:30       You need to think about how it plays out in a lot of different contexts, right? You need to think about what it really means in practice and art of stories, but you know, literature. But also other forms of art I think are an indispensable means to doing this both with ethical truths like this and also with other metaphysical trues views about what kind of wherein, sure. I guess part of the part of the discussion and as it progresses we'll, I don't necessarily mean this discussion in particular, but you know, obviously I'm not an enemy of reason by any stretch of the imagination, but I do see that it's hard for people who promote reason as the fundamental mechanism to distinguish between reason and the generation of algorithms. Like, and you can say, well my concept of reason extends beyond the generation of Algorithms and fine, but then my question would be, well, exactly what are the mechanisms by which reason functions when what it's doing isn't generating algorithms because algorithms aren't enough.

Speaker 7:          00:46:26       And we know that, right? Which is why we don't have expert diagnostic systems, for example. So then the, the reason starts to look something like metaphor. It starts to look something like narrative and then I start thinking, yeah, but that's not exactly the enlightenment concept of reasons. So we're starting to move into, uh, a different domain. And so more than just algorithm than metaphor and narrative. I think first of all, one thing reason can do, we've come up with metaphors and narrative, but there's more than just those three things. They'd also think there's the formation of abstract principles. I don't think what Newton did in writing the print Skipio was coming up with algorithms. There are algorithms in it, but or things you can algorithmize about how to prove certain things. But the act of forming the concept inertia, that's not exactly, you know, that's something else.

Speaker 7:          00:47:11       And I think it's an inertia might be an algorithm, but the act of coming up with it sampling. Yes. And I think there's a whole, an underexplored area of philosophy and they'd be cognitive psychology thinking about what are the, that have reason? How did the reason function, how is it that we can go from the kind of information we have in to a more and more sophisticated understanding of the world? And um, I mean I've written some on this. Other people have, uh, I don't know. I don't know how much I should try to explain here, but I can plug a, I have a chapter called conceptualization and justification in a book called concepts and their role in knowledge. That gives my sense of what reason does here

Speaker 6:          00:47:49       see. Cause here, the other thing that's come up among the cognitive scientists in particular and also the robotics types is, is, is as, as people, and this is Rodney Brooks in particular, who invented the room by, by the way, but who's, who's an absolute, well, it's a major accomplishment because the room that doesn't have a brain, but it operates intelligently, like it's a major accomplishment, that thing. And it took Brooks Brooks actually reconstructed how artificial intelligence, robotics engineers who are conceptualizing intelligence. And he thought of it as something much more embodied rather than conceptual. So it was the room was actually the consequence of very, very high level thinking about the relationship between reason and action in the world. Like one of the things that caught in the more sophisticated cognitive psychologists have been wrestling with is the fact that a lot of what we thought of as abstract reason is actually something that's more dependent on embodiment than we'd ever, ever possibly conceived.

Speaker 6:          00:48:42       Right. And so the idea of disembark need reason, which is also I would say an enlightenment concept seems to be lacking. It's lacking in functionality. You have to be embodied. And the thing to me is that an embodied reason looks to me a lot more like the hero of a story than it looks like disembodied reasons, I think. I think that's a better metaphor. And so partly why I like the idea of the logos, for example rather than the idea of reason is because, and this is partly reflected in its in its conceptual Christian origins because the logo's in Christianity is something that's actually embodied, right? It's the word made flesh. There's a, there's a, there's a link between the rational logos logic and the thing that's embodied and it's the interaction between those two that producers I think produces that phenomenon that you described as what drove, um, Newton for example, when he was producing his algorithms. That's not an algorithm. It's something else, but it's not this certainly not disembodied reasons, but even that

Speaker 7:          00:49:43       before of the word made flesh, right. It sounds as though something that could have been different bodied was disembodied once and now it got embodied. And so it still sounds to me a little bit too much like this, a disembodied conception of you want to call it reason or mind. Um, whereas I think we want to conception of what reason is and what it does that involves the fact from the start that it's a fee of a feature of certain living organisms. Uh, these organisms have perceptual systems, those are bodily at anything is, and it's, um, a faculty of integrating the data that's coming in through those, uh, those organs helping us direct ourselves through the world. Uh, and then on a grander and grander scale. So I think in the enlightenment, what we're getting is a lot of reflection for the first time or for one of the first time they're renewed reflection on reason, what it is, how it works. And there are several different views, right? Some more materialistic views like in the whole block and so forth and then sees more, um, the Cartesian type views. And I think most of the views that came out of that are wrong. And I think it's, it's sad because it's a period when people were really valuing the mind or their predominant, trying to understand it wrong. Well,

Speaker 6:          00:50:56       you know, because they go on to somewhere else. But it certainly does seem the case that, and this is again, I think the problem with the idea of reason per say is that it's not a sufficiently differentiated idea to account for how it is that we actually operate in the world. And so, and, and, and, and, and the AI types and the psychologists are really trying to sort that out. But see, one of the things that happen to me when I was arguing with Sam Harris about this, cause Sam believes that you can drive values from facts and more or less in an unmediated way. Although he, he, he, he has some differences of opinion with himself about how unmediated that is. It's like, it's, well, I mean it's very difficult to be entirely coherent when you think something through something that's complicated, there's, there's likely to be in consistencies in your argument because it's so complicated.

Speaker 6:          00:51:48       But it looks to me like it's actually formerly impossible to derive value from facts in an unmediated sense. You need something to mediate between the facts and the values. And, and then I would also say it looks like it's impossible for you to derive that structure merely over the course of your life. You don't, you don't have enough time. You're not smart enough and you don't have enough time. And so you have an embodied biological platform or you are that embodied biological platform. And it's actually the consequence of let's say, at least in part evolutionary presser pressures operating over about a 3.5 billion year period. And so it's possible that you can derive facts from values, but it takes you three and a half billion years to do it properly. And, and, and, and what you have that allows you to do that in your life, to look at a set of facts and to decide how to proceed is the intermediation, the unconscious intermediation of that unbelievably deep structure.

Speaker 6:          00:52:42       And when I've said to Sam something that really annoys him, I said, well, you think you're an atheist but you're actually not. What I'm actually saying is your conscious apprehension of yourself is a very thin layer that's laid on top of what you are because you don't know who you are. And most of what you do is unconscious. And that's actually a nun. There isn't a serious cognitive psychologists in the world who doesn't think that most of what you do is unconscious by the way. And I would say that unconscious has a structure and that's a narrative structure. And that narrative structure is deep. And so that even if you describe yourself as atheistic, because in the, in the explicit content of your thinking, you see no room for the grounding of your conceptions in divinity. I would say, well that isn't how your unconscious is structured all

Speaker 8:          00:53:26       and now. Yeah,

Speaker 4:          00:53:27       and you, you might object, but then then the objection, well, how are you structured? Structured since it's 99% of you, I think I've got a guy over there with a slight objection. He almost jumped out of this chair. How was your unconscious structures, which by the way, I think this is particularly interesting because I think you have a lot of agreements with Jordan on plenty of stuff. And I think you have a lot of agreements with Sam on plenty of stuff. But this is where this argument has gotten down to. It's a really, really rich place, I think.

Speaker 8:          00:53:55       Well, I mean it's, this is, this is the, the, the, the big issue, right? So I have agreements with Sam on stuff for different, but we have different reasons for having that agreement. Uh, and so for example, I agree with him. I, it was odd, but his conception of his art is very different than our conception of his art. And he has no freewill in that concept one. So that blows my mind how you can even talk about in his odd values without having free will. And, and, and he talks about choices without freewill, which, which, uh, which is challenging. Um, um,

Speaker 4:          00:54:29       well we [inaudible] we'll do that on and then we might come. Well,

Speaker 8:          00:54:33       we might come to some agreement about, about, I don't know who writes or something, uh, with children, although I think even now, even our conception of rights is going to be a little different because I don't see how you can get through rights without understanding of what was the reason and, and how recent functions and what the enemy of reason ultimately is, which is, which is what I mentioned earlier, which is, which is force. Um, so, so I think to go back to your original question way back, um, I think there's no way for us to have different foundations and not come up with different conclusions. We're going to have to come up with different conclusions. Now we might agree on certain issues in politics was, for example, I think we're going to disagree quite profoundly on ethics, right? I think, you know, just watching someone Jordan things and on sacrifice and so on, on the role of Jesus, Oh, oh, off you have Jesus is going to be very, very profoundly different.

Speaker 8:          00:55:22       And that affects human behavior. That affects individual human behavior. So they're going to be, you can't start with different premises and develop them and come up with exactly the same way and say, okay, we agree on this stuff, but no, these, these things have profound consequences. The disagreements have a profound, profound consequences. Now, when I think of my subconscious, I don't think of it as this as this. And again, I'm not, not a philosopher, not a psychologist. So this is the way a layman in these terms, we think, I think of my side of my psychologist, my subconscious not as a 99% darkness out down there, right? I think of it as, as, as something that accumulated information, conclusions, uh, values, uh, decisions that I've made over since childhood since before he was completely conscious of them, that they, I have access to some of them, uh, you know, hopefully cognitive psychology and how psychology can help me get access to more of them, but they're accessible to, they're not some mystery there, accessible to me.

Speaker 8:          00:56:26       And that when I am making a decision in life, uh, I try to make it based on what I know, not based on what I don't know that's back there. Right? So I try to accumulate facts. This is the finance guy in me right over the reality guy in me. I tried to accumulate facts and, and, and integrate them and try to distinguish between what f which facts are legitimate and which facts are illegitimate and try to integrate them and try to make a decision based on logic, based on, based on reality. And you know, sometimes my emotion will say, and this is my subconscious, maybe speaking, uh, don't do that. Or that's a bad thing. But so what? Right. If, if, if reality. And the fact, uh, with me, then I'll ignore that subconscious. So I don't see us as, we've got some choice over here, but we're really driven by the subconscious.

Speaker 8:          00:57:14       The subconscious is there for me to explore and I become a better person as I know my subconscious better. I had to stand where my emotions are coming from and I understand that better. But at the end of the day, when I make a choice out there, it's based on reality and fact and C, c, C and I, and I see reality of facts. I don't see anything coming between me and this and this plastic bottle that again, uh, my simplistic view right there. Here's the, here's the plastic bottle. I can see it. It's a plastic bottle. And, and uh, it's not something else. Not as, there's a lot that goes into what is plastic, what is bottle, what does that, but that's what it is. I can describe it. I can actually, if I had the scientific knowledge, get down into the molecular structure and it's real. It's actually here. It's not created by, by consciousness or interpreted by my consciousness. It really is what it is. So I, I think what evolution has done has given us those tools. [inaudible] question. Sure. Why is this, why is this stump in a beanbag? Both a chair?

Speaker 8:          00:58:16       Well, because you're talking about is a stump and a bean bag. Both a che. Because if you have a proper definition of a chair, then a stomping and big bag both fit the definition. Well, I haven't thought about it, but you know something to sit in. That's it. Yeah. So it's something to sit on. Yeah. Right. That isn't inherent to the object. Sure, no to. But my, my definition definitions are not habits in the object. The, the, the objective of the created by, by, you know, my consciousness and that object, that object is an object, right? It is, it is. It's both of them are chairs in both of them have a particular nature that is, I can describe both. I can both say the stump and the bean bag or the same there were chair, but I can also say the different, the stump is made of wood and it has this one. Let's say the drawback is that the problem with the idea that the object presents itself is that two things are the same and different in the near infinite number of ways and that that's also a technical problem. So I can give you an example. So imagine that you're going to classify a set of six books.

Speaker 6:          00:59:22       You're going to figure out how to arrange them in your shelf. You think, well that's an easy thing to do. That's a conceptual problem by the way, it's actually not an easy thing to do because there is an indefinite number of ways that you can classify a finite number of objects. So you could classify the books by color, by age, by thickness, by weight, by number of ease, by number of A's, by number of ease on the first page, by number of words, by number of phrases. [inaudible] question is, why am I classifying them? So that is the question. There's no intrinsic value to classifying books. The question is why do I want to classify them and the answer to the why I want to classify them. We'll then determine how I clashed. Absolutely. That's exactly it, but that's the rub. The rub is you see that's the rub.

Speaker 6:          01:00:09       Your classification system is dependent on why you apply it and that's exactly the argument I've been using with Harris, which means the set of facts that reveal themselves to you in the world are dependent on your values. Cause sounds argument is that the values are derived from the fact. It's like, no, wait a minute. There's an infinite number of facts and they present themselves in accordance with your values, with your, with your purpose and so that that demolishes the values from facts argument. Now it makes it complicated because there's an interrelationship between like a causal interrelationship, but it is the case that your purpose determines the facts that are themselves before you and that's actually not disputable. I would say there's a fact saw the actual fact on actual factors that have six books and actual fact is that there's a infinite, if you will, way in which the order them, and if I were to divide this would be in a photo. So the fact all they were my values introduced is how I'm gonna order them. But what the call or even if their book, but no, the bullfighter what they might be firewood. They might be a weapon. Yeah. There's lots of things they can be other than books

Speaker 7:          01:01:22       for the physical. So amusing to me because the first, no, seriously though, the first, uh, I study and I've written quite a bit on content formation and classification, but whenever I'm writing, but I don't think I've ever said this before. Um, I remember back to when I was a little kid and I had this bookshelf and I was ordering the books on the bookshelf and I was thinking, well, what's the right way to do it? Uh, and of course the answer is there isn't one right way built into nature. Here's how everyone's got to put into the Dewey decimal system. And if not for Dewey, no one would've figured it out. Right. There are, um, a lot of examples, a lot of different ways you can order books, but there are all and anything else, right. But there are all sorts of problems about the things that, um, make it necessary to order them in certain ways to achieve different purposes.

Speaker 7:          01:02:11       Right. Uh, and to understand that as long as you add that last part, there's very broad types of we have to have in order to be able to think and function at all. Yeah. Um, and those purposes, the purpose of getting to know as much of reality as we can of holding that reality in a way that won't Flomex us. And therefore with unity, economical is the word. Um, ran sometimes you just for this, so a way that allows you to hold a lot of information in a compact number of units. Um, and then there are certain facts that you need to know. And other facts we don't because of our natures, you know, to navigate ourselves through the world provides standards for how we are conceptualizing. Yeah. So although our purposes and our needs as human beings matter, it's not as though any purpose is just as good as any other. And there's a, well, you can come up with standards for objectivity of what, um, what is an objective way to form concepts and declassify in the same way that you can come up with standards for what? Waiting.

Speaker 6:          01:03:09       I agree with everything you said, except I don't think you can come up with it objectively. I even think there is a hierarchy of values though.

Speaker 7:          01:03:15       Hey, listen to the objective though that's involved in objective grading or objective reporting, right? It's not that the grades are already out there in the paper and you just got to find it in there or the newspaper stories already written in a good reporter will find it. It's rather there's a way, maybe not just one, but a small range of them right away, that this has to be done in order to accomplish legitimate purposes for doing it.

Speaker 6:          01:03:37       Yes. There's a finite range of organizing things that will enable you to use them in a in a reasonable way.

Speaker 7:          01:03:43       We mean, when we talk about an article being written, objective Lee, a paper being graded objectively, and I think in the same sense, you can talk about a concept being formed subjectively or values being formed objective, but okay.

Speaker 3:          01:03:55       Right? [inaudible] there's a lot in that

Speaker 6:          01:04:01       that I think is, is, is dead on. Like I do believe, for example, that one of the ways we deal with the fact that there's a plethora of facts is that we impose interpretive structures on those facts that are common to all of us because we have common goals, like we don't want to suffer and die. Generally speaking, we want to stay alive and our biological systems predispose us to act in ways that are commensurate with that. And, and so I don't think there's an infinite number of solutions to the fact that there's an infinite number of problems. That's where I think the postmodern, this have gone wrong. But I think that when you say that what you've produced by by constraining the solution set is somehow akin to objectivity that that's where I have a conceptual problem. Even though I don't disagree with the reason that you would make that case.

Speaker 6:          01:04:48       Then I guess what would happen is we'd have to define what constitutes objective because when I think of objective, I think about the strict application of the scientific method and what that's done for us is lay out a world, not a values, but of objective fats. If you're objective, you can lay out the objective facts, but I can't see how you can derive the damn values. Even though I do believe that there's a hierarchy of values and that there's a finite hierarchy. I don't think putting that into the category of objective truth is reasonable because I don't think that those truths are objective.

Speaker 7:          01:05:18       There's some, there's, there's some other form of truth. Well, and I think that that's generally captured in something like metaphor and narrative, which I think Dave's going to push us to move on in a minute, but I want to think one thing. If I can before I actually wasn't, I was thinking that maybe we dumped the Q and a and just keep going.

Speaker 3:          01:05:37       Wow.

Speaker 7:          01:05:41       You wanted to say about, I mean, so first I totally agree up one of these fully dump it. We'll, we'll do about 10 more here. One of the that you did, how do we define objectivity and is another one of these classifying questions, right? Uh, and that's an interesting question. Where did this concept come from? There's a whole history to it. There've been books written about the history of the concept of creativity and that's something maybe for another occasion, but let's flag that as a really interesting question. As for just want to say something about his art before we, and also something about whether we can get to the same conclusion starting from different places. Um, I see what Harris is doing is he's in the tradition of a lot of impurities to goes back to epic. Heareth it's definitely present in mill and then a different kind of way in Hume.

Speaker 7:          01:06:24       Um, they'll very different in Hume and Adam Smith. Um, if you're an empiricist, do you think everything comes from perception and you usually have a kind of fairly atomized view of perception. Think that collections of confessions and what these types of impurities generally do when they get to ethics is they pick some sensation to identify their value terms with. So either pain, maybe the sensation of pain is indicative suffering if the one sandy right is the bad, and then whatever the opposite to that pleasure with the good. Some of them you the sensation of desire, fulfillment or, but they picked some sensation from simple psychological state that can be experienced in a moment and identify that with the good. And then they come up with some theory about, you know, how do we get as many of those moments through as much of them as possible.

Speaker 7:          01:07:09       That famously with John Stuart mill does epicure with in a very different way. Um, and if you think you can derive value from facts like that, I don't, I think that's the mistake. I don't even think that's really deriving value from that. All that's doing is identifying value with certain very, very simple fat. So what I think the real question about deriving value from fact is, is we have the value concepts, concepts like good and bad that we use to direct ourselves, directors hell through life. How do we form vive concepts and these concepts be formed based on fat in an objective manner as opposed to just being found out there already or um, or just being made up and you can make up your worth and I can make up mine. And there's no way to tell if the Nazis or the Klu Klux Klan or the communists to where we are right about what the value.

Speaker 7:          01:07:57       So, um, so I think we have to take this question back to the broader question of how do you form concepts and what kind of ways, just perceptual evidence play in the forming of feather. And in the case of value concept, and here I'm drawing on rand if I usually do. Um, what I think we do is at the deepest level, it comes from the needs of living organisms. There were certain ways they need to function in order to survive and prosper and values or the way that we conceptualize that there'd be conceptually. So a human values in health and conceptual form is an identification of something a human being needs to live. And he values that in so far as he chooses to live. And in some foreign recognizes that it will contribute to his life. But what I think ethics is a branch of philosophy as a science and in fact has to do, is really articulate the foundations of the values, where they come from, what the fundamental values are, what the fundamental ways of achieving them is. So how would you ask

Speaker 6:          01:08:55       perspective from the perspective of our Darwinian pragmatist?

Speaker 7:          01:08:58       So let me just say one more thing before I get to that. So, but that doing that as a philosopher is a pretty sophisticated thing. People don't start doing philosophy until thousands of years more than that into living as human being. This particular theory of the origin of values didn't come about until the 1950s. So in some sense, prior to that, human beings, we're identifying things as values in conceptual terms. We learn it as we were kids. We learned that some things are good and some things are bad. And what a philosophical theory of values has meant to do is to articulate why that works, what it is that we're doing that or when we do that. But other people who don't have the same theory than us, we'll have some of the same values. And so we might come to the same conclusions, but without being able to fully defend and articulate them in the same as, I don't think it's coincidence that both of us sync, the Nazis were bad and the communists were bad. Uh, even though we start in some sense from different places, but I think to fully develop and understand what's bad about them, uh, and to come out consistently on the more difficult cases, uh, of what's good and bad. Although the Nazis was a really difficult case for a lot of people we should remember in the communist still is. That's where we need I think to get down to the donors know you're asking me about the Darwinian. Yep.

Speaker 6:          01:10:07       Well, because you know, if, if you're, if you're making the claim, which I think is, it's a, it's a justifiable claim, whether or not it's accurate, um, is that our ethics are grounded in something like the necessary, we could say the necessity for survival and reproduction, which are variants of survival. Obviously it's a Darwinian claim. It's the claim that the American pragmatists advanced as well because this is, this is, um, person and um, William Jameson primarily, you know, they believe that you're, your knowledge was a tool. Knowledge was a tool to advance being in the world, let's say survival in the world and that you justified your knowledge not because you had finite final knowledge of anything, but because your tools were good enough to obtain the end that you were aiming at. That was the validation process. If your theory was good enough to get you to where you are aiming, that it's, it was true enough and the pragmatists believed that that was the best that you could do with truth.

Speaker 6:          01:11:05       And then when Darwin advanced his theory, the American pragmatist said, Oh look, Darwin's theory is actually an extension of pragmatism. And pragmatism is the notion that your truths are good enough to facilitate your survival. But this is the rub is that star wars, there's a, there's a truth that's embedded in the Darwin you'd worldview that is not the same truth that is embedded in the Newtonian worldview. There's a conflict between those two. And the Newtonian worldview is basic, basically the world of fat, right? Roughly speaking. And there's a, there's a set of claims about truth that are based in a Newtonian worldview and they're not the same as the ones that are based in the Darwinian point of view. It's a big problem. And part of the reason that I've been arguing with Sam for like three years is because he's an evolutionary psychologist in principle and a by a biological thinker. And yet he essentially has a Newtonian worldview that is the world of facts. That's real. It's like, no, no. There's a world of values and the world of values is devoted not towards determining what's objectively true but towards facilitating survival. And those are not the same thing. Now there's obviously a relationship between them because the world of values and the world of facts coexists, but the relationship doesn't seem to be one to one.

Speaker 3:          01:12:24       Got It.

Speaker 8:          01:12:28       I mean the will, the will the values just use a valuer that is the wall. The fact they are facts out there. The that's the Newtonian physics. They really is a world out there. The all of it values exist here, exist in the mind of individuals. We value something. It's, there are no values out there independent out of value work. So these are two different dimensions and any, any, any work, you know, they, part of valuing is identifying the fact, yes, this is the rub. That's funny. Probably even used your hand motions. [inaudible] we did.

Speaker 7:          01:13:04       I mean the, the American pragmatists are interesting philosophically and, and there were some things I like about them and one is the really stressed the importance of activity and thought, you know, thought you don't just, the world doesn't just come to, you have to do something, uh, to think right. If physically the they really stressed the activity of the mind and they really stress the role of ideas in action. And I think that's something that's left out in a lot of philosophy. But I think they lose the reality in doing that. So they treat it as though, um, consciousness is just something that uh, running your life and all your ideas or just what your mind busy doing. But I think what we know and can tell to be the case when we just introspect on our own conscious and think about what it is to be conscious is that to be conscious, to be conscious of something, to be conscious of something independent of yourself.

Speaker 7:          01:14:01       There's a world out there and what we mean by consciousness is the graph above and awareness of that world. We wouldn't even be able to get the idea of our own consciousness except contrast to a world that we're distinguishing it from. You close your eyes and you open them and you think the things still there. You know, you have the idea that of a world that's there and then your consciousness is of that world. And I think you have to have that idea of knowledge and knowledge being about something that's independent of you. Um, and I think the pragmatists lose that. I think there's this kind of dichotomy we find in thought between everything's in your head and your, your mind is very active in your knowing the world and you're deciding things and therefore you don't actually get out the world the way it actually is.

Speaker 7:          01:14:43       And then on the other side, you do get out the world the way it actually is. But because you don't do anything, it just comes to you passive. And I think both of those are wrong. There's activity you have to do to get at the world, but it's activity to get at the way the world is. And of course you get it in a certain form. Just like if I kicked something up, I'm holding it in one form and I could hold it in a different form, you know? But I'm still holding it. It's not like I'm getting any. And likewise for values.

Speaker 6:          01:15:05       Dogmatists do retain the world, but they look at it slightly different. They say the world is what objects to your stupid theory. So let's say you, you, so it's not that the world is made of objects. The world is made of what objects to your stupid theory. That's a whole different idea. And it's a way more sophisticated idea. And so for the pragmatists, if you lay out a theory in the world in action and the action obtains its, and then the theory is sufficiently true, but you know, lots of times when you lay out your theory in the world, you don't get what you expected. And then the question is what you get. And you might say, well, you get an array of new facts. It's like, no, no, that's not what happens. What you do, what you get is an array of new incomprehensible possibilities and that's not the same thing as a set of facts.

Speaker 6:          01:15:46       So let me give you an example. You'll all understand this very rapidly. Imagine you're married to someone and you trust them and they betray you and you discover that one day. So that's the world objecting to your stupid theory, that's for sure. Because you had a theory about who you were and the theory about who your partner was in the theory about what your life was and that theory was seriously wrong. Past, present, and future are all something radically new. You might say, well, a new set of facts confronts you really? Is that right? Okay, just what are those facts? It's like you'll be in a pit for two or three years trying to just get the bare facts out of that situation. The only thing you'll know for sure when the world objects to your stupid theory is that you were wrong. It's not like the world is going to array.

Speaker 6:          01:16:28       It sets like who is this person that I was married to? That's what's going to be the question. And the question is, what kind of fool was I for making these presuppositions to begin with? And it's not like that new knowledge will manifest itself in a set of instantly apprehensible facts about the true nature of the world. You're going to be suffering like mad for a very good long time before you can take what you have, which isn't facts, but just confusion and transform that into something that's even vaguely resembling a set of apprehensible facts. You'll be in serious psychological trouble until the world reveals itself as a set of apprehensible facts. And if you're traumatized badly enough, it'll never happen. And so that's another part of the problem with the idea that the world just represents itself as facts from which you can derive values.

Speaker 6:          01:17:16       It's like not when you're bloody confused and you're confused a lot and you're, you're confused when the range of potential that's manifested exceeds your, your, your grasp exceeds your capabilities and then the way you respond to that isn't even cognitively the way you respond to that. This is part of embodied cognition. What do you do when something in comprehensible objects to you? Well, it depends on how incomprehensible it is, but let's say what did you do when the twin towers fell was at this set of facts? It's like you didn't know what the hell was going on and neither did anyone else. What you did was go into a state of crisis and that state of crisis is actually an embodied pre-cognitive response and what happens biologically is that you get flooded with cortisol, which is a stress hormone, and what it does is prepare you to take a very large array of potential actions.

Speaker 6:          01:18:07       That's your response. So it's not like the world has raid itself as a set of facts from which you can derive value. What happens is the world is the rate itself as an incomprehensible mystery and you have to do something about that and what you do is ratchet up your physiology so that you're burning yourself up because you age faster with this sort of thing happens, which is why you age faster. If you're in crisis, you burn yourself up in the attempt to do everything at once, to prepare to do everything at once. And that's really the world manifesting itself as an object and objecting to your theory. It doesn't come out as an array of facts. It would be so lovely if every time you were wrong, what happened was a new array of facts. Yeah.

Speaker 8:          01:18:47       The point is, the point is that the reality doesn't just show up. It's not just an array of fact, but when that cortisol happens, when that if it happens, what you do is consciously make an effort to go find the facts. If the facts are still in reality. So something happened and I and 11 so the first thing you do is what actually happened. You have to figure out what actually happened is real work and real cognitive effort. Who are these people? Well, what is the ideology driving them? Why did they do? It's all of these things off facts that exist in reality at your responsibility, your mom's responsibility, I think to yourself is to go find and discover the facts that are relevant for the decisions. And the actions you need to take given the event that's happened. So yes, psychologically if you discover your wife from a train, you, you, you're confused.

Speaker 8:          01:19:37       But I think your job as a human being is, okay, what actually happened and where did I make my mistakes? So it's hot, but this is what you want to, what free will is free will is that engaging reason, engaging our consciousness to discover the facts out there and, and apply them to making a new conclusion. Right? Okay, so so something's wrong in my values and my wife, what was it? Did you really betray me? Or the facts is it is what's going on here real. So all of it is again of tune to reason or return to, to return to the discovery of facts, which is what, what reason does. Okay, so two things.

Speaker 6:          01:20:20       First, you mentioned relevant, the relevant facts and that's the rub. But I would also say interestingly enough in relationship to your argument that developmental psychologists, Sean Piaget made a very similar claim. He said that because the domain of established facts was mutable and that's the, that's the issue. Say with the fact that your partner could be Trey, you, even what you know can be, can be mutable, right? Then what is relevant in the search for truth isn't the search for a set of immutable facts, but a search for the process by which by which factor generated from the chaotic potential to begin with. It's not exactly how Piaget worded it, but, but, but,

Speaker 8:          01:20:59       but the fact so that your wife is either between you, if she's not betraying you, it's not. It's not. There's this always a potential is also potentiality. But she's either between you, she's not betraying you and your job is to discover whether she is or she isn't, right? If that's the job you've assigned yourself. Right? So, so it, the fat, the reality is what it is. Uh, it's not dependent on you'll discovering it or not. Your responsibility if you're married is, is to know whether your wife is between you and not. Uh, hopefully, hopefully you don't need to do the exercise cause, uh, cause she's not in, in, in, and, and you have trust in that. But, but your consciousness is identifying the truth of what's out there. It's not, some are way of infinite possibility. She could be betraying, she'd be half betrayed you.

Speaker 8:          01:21:44       She can be happy to train you just like she can't be half pregnant. So the two possibilities, she says the a you she's not. And your job is to apply reason, which I take as identifying what is true and what is not, what is factual and what is not, what is the evidence weighing the evidence. And then there's a whole, a psychological assessment of the why did this happen to me? What did I see? Did I screw up that she screw up? Why he was my assessment before? But that's a separate question. First, did she, had she, so, so it strikes me as just this is relatively simple, right? If the facts are what they are, our job is to discover them and let me know. Let me

Speaker 7:          01:22:20       say about this, the world objecting to your theory. Uh, it's certainly true that the world of jets to stupid theory if you've got them to try it out. But I don't take that as a definition of the world if one fact about the world, uh, and more importantly the fact about our theories that they better match the world. Otherwise we are going to have trouble with them. And when you get into this situation, and this is what I, the pragmatists take it too often as though the theory is just there were not too interested in how it got there except by repeated episodes of what's about to happen, which is that the world objects to it. And then you go scrambling to try to get out of this state of cognitive dissonance that you're in because of the objection. So, you know, um, do, he says at one point thought thoughts of disease, right?

Speaker 7:          01:23:03       Everything's easy and nice. You don't have to think, you just go by in some stupid, he wouldn't put it that way. But, uh, and then some fact objects and now you've where the world objects and now you've in dissonance and you've got to figure out how to reconfigure your mental life so that you can get on with it. And that is what a lot of people did after nine 11 right? A lot of people, something unexpected and horrible happened and what they were motivated to do was figure out what are the fewest moves I can make to get things to go back to normal and be all right. I don't care what's true. I don't care who really did this. I don't care what would really solve it. I just care what I can tell myself to make this confusion and disruption and agitation go away and that's dishonesty and that's wrong.

Speaker 7:          01:23:42       And to really value honesty and wanting to get the right answer and being rational in these situations and caring about what happens to your damn life. You can't say, you know, Oh, I just want to be back into blissful oblivion by coming up with some new theory. Why do y'all know what went wrong in the first place? I got to this theory somehow. Yup. Uh, now I see that the theory is wrong. What mistake did I make along the way? What was the process by which I generated this Siri? And what was the misstep in that process? How can I fix it to generate a new theory, one that'll be true. And that that process by which you generate your theories, it's a process of forming concepts. It's a process of collecting evidence. It's a complicated process. It's a lot to say about it, right? Sounds like repentance and atonement to me.

Speaker 7:          01:24:28       Uh, it can be, but it's in that you're acknowledging an error and you're trying to fix it, but you're trying to see how you made this theory and how you can make it better. And if you, this idea that, you know, this idea, that philosophy and really thinking starts when you come to contradictions, you get this back in the Greek was the dialectical tradition and people debating each other. And I think there's something really profound in Aristotle, uh, as opposed to Plato and the other Greeks, the other Greeks, they seem to, and then later Hago they come up with contradictions and they think what can we do to get past this contradiction? But what Aristotle always does and all of his books have this structure. I think it's brilliant. He, he gets into a field by discussing the debates in it. He shows all the contradictions and all the puzzles and it can't be this and this, and then he says, let's start fresh.

Speaker 7:          01:25:16       Let's go back to the drawing board. Let's think about how we got here. And then he crafts a new theory starting from the pint of fact that motivated the old series from the kind of observations, let's say that motivated the old theory, but that avoids the difficulties in the new one. Rather than just trying to reconfigure the go forward, you go back and if there's a hierarchy, not just the hierarchy of values but also a hierarchy of our understanding of the world, certain ways of understanding it or more basic and others that are built up on top of that. When you find that one of your theories and the theories are really complex way of knowing, right? When you find that one of your theories is mistaken, you think, how can I go back to the more basic, more primitive types of knowledge? Uh, more basic types of observations, whatever it might be from which I generated this Siri and then and now add to it the new observations and the new knowledge that I have based on what went

