Speaker 1:          00:00:02       All
Speaker 2:          00:41:53       Yeah. Well now you can see that. I mean it's happening right now. It's turning on them right now. You can see the left eating itself. Right? And if someone on the left, I probably shouldn't be taking that much joy in it, but because it's been so warped, I actually am. I want, you know, as we've been calling them, the regressives I want them to. I want them to go the way of the dinosaur. Enough of this,

Speaker 3:          00:42:12       enough of this I know. And we bring back it just a, an environment of openness and with jokes.

Speaker 2:          00:42:19       Yeah, there shelby jokes. I was, was it? Let's move away from some of the serious stuff, but now I'm going to bring up Gamergate. So I don't know which way is this. Serious or joking will find that tragic comedy. Okay. So actually I remember very much the first time I heard you was about a year ago or so when Gamergate was just starting to percolate up and I tweeted out, I said I want to do something about Gamergate, can you point me in the right direction because I really could not get ahold of it, which it seems like no one still can get a hold of, but your name came up and Milo Yiannopoulos and Adam Baldwin and a couple of other people popped up and I was looking around and I did one video on it and I basically said I tried to lay it out, but I basically said I don't know what's going on here right now. Since then I've had my avalon and I thought he did a pretty good explanation. You've become sort of a, I guess like a heroine of the Gamergate movement, um, for a lot of the reasons you're discussing here. So if you were going to explain it in like two minutes, how would you explain the, the thing that is Gamergate?

Speaker 3:          00:43:17       Well, just the first thing to know. I am not a Gamer and in fact I've looked at some of the games that are con and they, they, and you know, there's too much violence and mayhem mend. It's, I mean, but I also don't like shows like breaking bad or I can't watch them too much violence.

Speaker 2:          00:43:31       So you believe they should exist if people sort of, not

Speaker 3:          00:43:34       my taste, I do prefer, you know, pride and prejudice or you know, the latest pbs, uh, um, Downton Abbey, that sort of thing. But it's not. I don't impose that on everyone. And I recognized there can be great movies. Alfred Hitchcock was a great director but I will never see psycho. I'm too afraid. It's not my, I can't, I don't enjoy that experience of being terrified in the theater, but people do it and it's theirs. It's harmless. And so when the video game controversy erupted, I, I took a, I took a measure of it. I saw some familiar players because I'd been in some of these same battles. And I saw that, um, some of the feminist critics were cherry picking. They were misrepresenting and uh, and that, uh, the gay gate was being judged by. There are some extreme people associated with it at the periphery, but the CD, but like every, what I mean, the occupy Wall Street, there were crazy people on the periphery. Sure. And, and black lives matter if you go to the periphery, but you, what you should do is go to the center and what are they saying? That's what I tried to do is go in and see what they were saying. And uh, these, these critics. First you had critics who said video games are causing mayhem. They create violence. No one has been able to show that. And psychologists are already just tired of it. They're not, forget it, you're not theirs. It's just going in a circle. No one has been able to show that.

Speaker 2:          00:45:01       Yeah, it hasn't. There been some studies that have proven it actually does the reverse because people, you get some of their aggression out instead of actually shooting similar.

Speaker 3:          00:45:09       And it takes a lot. I mean, no one knows what creates a, you know, a sociopath, a criminal, but it's probably not video games. But, and in previous generations they thought it was comic books. We had a corrupting influence on the morals of the young or it was television and any new medium goes through this and games seem to be there. And then there was a feminist critics and they were saying that it was causing the, well, they were saying two things, but the games themselves are sexist and they, they create a attitudes of sexism. And I, I just do not see evidence of that. I did see that some of them had sexy women and um, but if the players like it and many of them, you know, men are known to like images of sexy women. I just didn't understand why we were demonizing that.

Speaker 3:          00:45:57       And people say, well, feminists will say that, that the male gaze looking at women's bodies objectifying which feminist I was a part of, a group of feminists or libertarian feminists who it was live and let live. I mean, I, I'm not against people. There was a whole group of feminists that were against having, you know, women posing in playboy or, or the sports illustrated swimsuit issue. And all of that, Catherine Mackinnon, Andrea Dworkin, but there was a whole group of us that were opposed and I think we won the argument, but apparently they won the assistant professorships. They've been there ever since. It's teaching these.

Speaker 2:          00:46:37       That's all they might've won

Speaker 3:          00:46:40       if they teach. We won all the battles when they were the first so called culture war. We won the arguments. We had the New York Times on our side. We had new, you know, the media and now they've been. They've been laboring away, you know, with their theories and they know relentless and now they have the backing of the Department of Education because through so in the educational system they can make a federal case of everything. So it's difficult. I think in the end we will prevail because I have great faith in just human ability to see through nonsense. Eventually it has to fall.

Speaker 2:          00:47:14       Right. So my question there was what is Gamergate? And I think your answer because your answer. I had almost nothing to do with Gamergate. I think it was the right answer, right? Because that seems to be the confusion about what is Gamergate? Nobody seems to really understand what it is. I think at this point it's morphed into so many details,

Speaker 3:          00:47:30       so many different things, but at the core it was a group of Gamers who were. There were issues. I don't understand. It's not a Gamer. They were irritated by some cronyism in the race.

Speaker 2:          00:47:42       The magazines were being paid off by the manufacturer.

Speaker 3:          00:47:44       No. All that was going on and that that happened. We had, we saw that in radio when it was a younger medium, there was payola and all it has to be sorted out. I think gaming had to go through that and maybe it still has to go, but it's, it's improved since Gamergate, that's for sure. But then they also would find themselves in, you know, getting attacked by game critics or games evaluated because they objectified women or something and, and they were just thinking, we just want to play our games. We don't really. Yeah. So whatever. And then they had these critiques of the Games that were so cherry picked and these gamers, they know their games don't mess with that and they know the games and then so they were is of course Anita Sarkeesian and her videos. It was infuriating to. And these are some young guys, mainland some girls and they see their games being misrepresented or she'll pick a scene out, make it look like one thing and was totally different or take a video. No one ever watched that had you know, a following of five and act as though it's typical of the game. So they knew it was cheating. They knew and they got really mad. Now what I liked about many of them is they, they fought back with arguments, they made videos, they were, it was, it was this explosion of can we get acacia now? There were crazy opportunists at the edges or maybe they weren't even part of Gamergate. Maybe no one knows who sent threats and people on both sides of the controversy. Get them.

Speaker 2:          00:49:10       Yeah. So that's the interesting part that there was this group of. It's younger people playing video games. They felt that the system that they, you know, they love these games, they felt that the man, you know, the video game manufacturers, they're buying the reviews and all that and it starts with that, but I think you just hit it that it became this thing where suddenly this group of people who have nothing in common, we, they don't know what each other's skin color is or sexuality is or any of this stuff is, but they all found this common thing related to authoritarianism and they fought it and that's why I was fascinated

Speaker 3:          00:49:43       and they fought and they fought and they, they, you know, it just, it's, it may erupt again. It goes, it comes and goes. But, uh, there was comradery and to two times, maybe two times we've had these gamer gate hookups where, because you only know each, it's just a Hashtag. It's not an organization. And uh, and in both DC and in, um, in London we had a meetup and I met the gamers that and they weren't there. You can't be a more delightful, friendly group of people.

Speaker 2:          00:50:11       So that, should that be the piece that gives you the hope that you were alluding to a second ago, that there was this group of younger people that said we're not going to take this bullshit and if they're not going to take it,

Speaker 3:          00:50:22       they were, they were, you know, they were, it was a majority guys, but lots of fantastic young women who, and again these are hardcore Gamers, I dunno, maybe 70 or 80 percent male, but there's some fun. The girls that are, they're fantastic and they're part of that group. So they even whatever they were, they could. There are gay women and, and, and every race I mean is, it is represented and you realize gamergate was a consumer uprising really from across the world across racial and class and gender lines. And it was just defending a hobby they love.

Speaker 2:          00:50:57       Right? So that's sort of what it is, is that, that's why the regressive left really hated it, hated it. And they wanted to get the idea that there would be a rebellion. How dare you, you do not talk back to big sister, which is so fascinating because. Because it was a cross section of people, they couldn't figure out who to guilt into hating who more and that I think transcends so many things that we see on college campuses and we see in our public discourse and free speech and all that. For you personally, how does it feel as you just said, you don't. You were never a Gamer, but yet you're based mom. For these people. How does it feel to be part of something that you actually, unlike feminism, where you had a vested interest as a woman, let's say now you're part of something that you want to say. You don't care about it because you care about these people obviously, but as you said, you're not a Gamer, but you're a leader in this thing.

Speaker 3:          00:51:48       It's happened before I came to the defensive wrestlers because they were. Our sport has been demolished by it. Completely unnecessary interpretations of this title Nine Equity Law. And so I made friends with a lot of wrestlers. I've never wrestled and I've never even. I've never even seen it, I don't think except accidentally channel surfing. Right? Um, but I love these. These are just great guys and they, they were, and they couldn't, you know, they, they didn't have a voice in this debate. And these, you know, gender experts speak for the, as if they're speaking for all women or all of the left or something. They speak for themselves. People should know that. So how did it feel? Uh, it, it's fine. It's, I mean, because just because everyone seems great and I, I just, I mean, as I said I haven't, I can't think of a group of people that were just more diverse, more welcoming, good sense of humor and creative. I think, you know, if I were to, based on my knowledge of gamers over the last year or so, it's someone's like obsessive gaming. It's predictive of being an artist or an engineer. They're smart too.

Speaker 2:          00:52:59       It's hard to play these games. I mean we've got the army and the navy now playing video games to learn how to actually do things. So it's not that these, you know, I was used to, I was running around is Mary, oh, eat mushrooms. That did for me, but nice. So mushrooms in college. But uh, what about online harassment because that is also a piece of this and it also fits the feminism thing. Um, how much of it is honestly, how much of it is real? There's obviously plenty of it's real and we can look on any youtube comments section and then there's everybody harassing everybody for every other reason that it's endless. How much concern should we actually have for this? Or is it something that is not that important because it's just words

Speaker 3:          00:53:41       digital. We should have concern for a, just a, a certain category of harassment. First of all, we have to make distinctions. If you're online and you know, there are different people can disagree with you that could upset you but you know, live with it and people could insult you. That's life, just unfollow them. Then people can be obscene and you know, like, and it's probably more upsetting to a woman than a man that kind of like sexual and then they can issue like really scary threats right now obviously with the really scary threats and probably the obscenity. Uh, well let's start with the threats there. You have to, we have to do something about that and I think we are. I mean I think they get reported and, and when, if they're credible, but the thing is with Gabria gate and like, has anybody been hurt? Is there any evidence of itch? It's just all internet nonsense. I mean these, there are these threatening males and making mean where are they? I mean were who has been hurt. Exactly. I mean the worst thing I, one of the worst things I read about was milo getting terrible things in the mail, right? Milo Yiannopoulos,

Speaker 2:          00:54:52       bomb threats called we have something that he did. Yes. When we

Speaker 3:          00:54:55       did our Gamer meetup where I met the gamers in Washington DC, a critic of Gamergate sent, first of all, he sent completely rambling, frightening notes to the bar owner telling him not to host us and it was very touching because it's borrowing or was talking to me. He was worried that what he has this critic made it sound like, like he was hosting some, you know, I dunno some Nazis or something and the bar owner said, what can I do? This is America. And he was, he was from Afghanistan, I think, rooted in, in a minute, immigrant or maybe a rocky said, what can I do? This is America. And he said, are you going to keep us out? He said No. And then I, they were so pleased because. And everybody was very generous because we felt bad that they got a bomb threat and the imagine making a bomb threat in DC. They brought in vans and police dogs. But of course being gamers, we just went outside. They partied outside.

Speaker 2:          00:55:53       All right. So it had a, it had a nice ending. And I suppose that's all that we can do is just, you just keep going and you just keep telling the truth and all that. Which sort of gets me to my last question, which is I've been trying to end all these interviews on the hope part of all this. Where do we go from here? With all the things we've been talking about? And uh, I think you were in a piece that I owe that Milo is also in about the rise of the cultural libertarians. That there is this group of people now that cut across the political spectrum that include Bill Maher and rock and people on the right like Milo and people on the left at that have realized we got to get out of people's personal lives. We got to stop othering everybody. We got to stop judging everybody based on color and sex and religion and all that. I'm a firm believer that this is the next political movement in this country. So I guess are you with me and give me something else

Speaker 3:          00:56:48       totally with you. And I think that it was my acquaintance with the gamers that gave me that hope because politically they all over the spectrum but they are very libertarian for sure. And this was their, how they were acting and I just thought that it got some insight into how they were and and two, because they are younger. I mean they're gamers are a lot, a lot younger than me, most of them. And that gives me hope. And, and I. What I like about it too is it can unite us from people who were concerned. I'm still a registered Democrat, but out of respect for my mother and father who are so liberal, I wouldn't dare her register anything else, but they. But you can be conservative, you can be liberal. What unites us as Americans and maybe he's. Yeah, in Westerners to it is a love of freedom.

Speaker 3:          00:57:38       Yeah. I mean that's our. So I think it can bring people together and we've right now it's not, it's, it's sort of the bullies have the upper hand and so it's going to be a battle to um, take the power away from them and give to where it belongs to people who just, who are nice, respectful and who want a of other people and realize other people have different opinions and, and that that's okay. And not to be policing. I don't want these authoritarians here who said they could make the rules, your arguments for censorship and, and, and doing away with due process. They're not going to work. They had been tried before with that with unhappy results. So read some history. But having said that, I do think and any crazy things happening on campus right now, it's maybe a good thing if people are seeing it and will not be so easy. So ready to jump on it.

Speaker 2:          00:58:33       Yeah. That to me, that's the hope that I've been trying to take for the last few weeks that even even in cable news, which is so endlessly dumb and and pandering that I was noticing people were starting to say, you know, where they'll cry racism every two seconds and sexism and homophobia for the first time. They were kind of coming around and being like, this might be a bit much. So that's got to be that. That. Yeah, that's a good sign. That's a good time. Well, what would you say? Just the average person that, that not someone that's in the public sphere, but the average person that wants to do something about this in their, in their.

Speaker 3:          00:59:07       I would suggest that you be somewhat skeptical, not get too carried away with a cause until you check the facts. Now, if you've got good information and moral energy, that's moral progress. That's Martin King. That's civil rights. If you have bad information and moral fervor, that's fanaticism and history is one long lesson and the dangers of combining misinformation and moral fervor, so be careful. Choose your costs, causes carefully. And um, if you were, if you do that, I think it'll, you know, that that leads to progress to being careful about your causes. And right now, if you are a woman and you a part of campus feminism, I hate to say this, you have chosen the wrong cost. It's not about liberty, it's about repression.

Speaker 2:          00:59:52       Well, you know what, I look forward to seeing some of the comments on this one. We'll see if they agree with you and if they agree, great. And I have a feeling if they disagree, you'll be okay with that too. I'm okay with that. She gave me the evidence. Persuadable. There you go. Well, it was a pleasure meeting you. Finally in actual life we realize we've been doing this and this on twitter. One hundred 40 character thing and I really appreciated the fact that you literally went from almost four hours with Joe right over here. And, uh, what are you going to do for the rest of them?

Speaker 3:          01:00:18       I'm meeting my nephew and we're going out for Margarita is Mexican food.

Speaker 2:          01:00:23       Excellent. All right, well, you guys can check out Christina Hoff summers and all the usual spots on twitter on youtube. It is the factual feminist. And uh, I thank you again and I look forward to seeing you guys next week.
